year,month,state,incidences
2020,8,Brandenburg,2.7925395545369374
2020,9,Brandenburg,3.6277169130414455
2020,10,Brandenburg,31.49074531800301
2020,11,Brandenburg,104.02694965485465
2020,12,Brandenburg,202.6351608210437
2021,1,Brandenburg,231.7197716935581
2021,2,Brandenburg,78.97095402237514
2021,3,Brandenburg,96.17038472272156
2021,4,Brandenburg,129.10311594876754
2021,5,Brandenburg,62.95352710837753
2021,6,Brandenburg,7.428807697379587
2021,7,Brandenburg,4.941917973618394
2021,8,Brandenburg,20.43625441868224
2021,9,Brandenburg,40.6653668880073
2021,10,Brandenburg,71.65526847859141
2021,11,Brandenburg,460.54010689287225
2021,12,Brandenburg,585.3300181808688
2022,1,Brandenburg,836.2480226608293
2022,2,Brandenburg,1701.4717527805678
2022,3,Brandenburg,1520.6159582157786
2022,4,Brandenburg,738.1405704840965
2022,5,Brandenburg,285.1402780194928
2022,6,Brandenburg,291.8486435596072
2022,7,Brandenburg,509.5590268631373
2022,8,Brandenburg,349.8402545352139
2022,9,Brandenburg,332.40762193568247
2022,10,Brandenburg,629.1577634607905
2022,11,Brandenburg,281.87701908320946
2022,12,Brandenburg,319.7947151678292
2023,1,Brandenburg,155.63335960614305
2020,3,Mecklenburg-Vorpommern,4.767152338247177
2020,4,Mecklenburg-Vorpommern,4.876403750506881
2020,5,Mecklenburg-Vorpommern,1.123213969658407
2020,6,Mecklenburg-Vorpommern,0.5917061827089385
2020,7,Mecklenburg-Vorpommern,0.8028677394528005
2020,8,Mecklenburg-Vorpommern,2.108278627540646
2020,9,Mecklenburg-Vorpommern,2.4744076731464704
2020,10,Mecklenburg-Vorpommern,18.91043840182469
2020,11,Mecklenburg-Vorpommern,47.00340127609922
2020,12,Mecklenburg-Vorpommern,79.93239092811511
2021,1,Mecklenburg-Vorpommern,111.53454653789817
2021,2,Mecklenburg-Vorpommern,74.45168166325594
2021,3,Mecklenburg-Vorpommern,84.84570123389359
2021,4,Mecklenburg-Vorpommern,132.3828794160729
2021,5,Mecklenburg-Vorpommern,62.27330498803105
2021,6,Mecklenburg-Vorpommern,5.213634896596243
2021,7,Mecklenburg-Vorpommern,3.5438301716495197
2021,8,Mecklenburg-Vorpommern,23.75767729762327
2021,9,Mecklenburg-Vorpommern,35.96166737009359
2021,10,Mecklenburg-Vorpommern,65.88721089753805
2021,11,Mecklenburg-Vorpommern,256.07843624055545
2021,12,Mecklenburg-Vorpommern,392.9286773144415
2022,1,Mecklenburg-Vorpommern,607.4124914207275
2022,2,Mecklenburg-Vorpommern,1397.4314868080849
2022,3,Mecklenburg-Vorpommern,2170.4838589547585
2022,4,Mecklenburg-Vorpommern,1116.3116429570414
2022,5,Mecklenburg-Vorpommern,305.65435122280155
2022,6,Mecklenburg-Vorpommern,358.6960119830846
2022,7,Mecklenburg-Vorpommern,582.9480502527132
2022,8,Mecklenburg-Vorpommern,396.0360357474359
2022,9,Mecklenburg-Vorpommern,351.9782847968752
2022,10,Mecklenburg-Vorpommern,626.1046939532248
2022,11,Mecklenburg-Vorpommern,323.9074124647252
2022,12,Mecklenburg-Vorpommern,347.2433005592444
2023,1,Mecklenburg-Vorpommern,188.58366738155212
